drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,heading_diff,ekf_heading_diff,time_s,SDS
00002.png,2442,00004,221,12,71,0.635,1.834,"(1.000,0.999,0.998,0.987,1.000)",0.991,0.849,-17.45522017,-12.06189582,-1.940,-16.09805092,-14.95489676,-2.095,-9.9186,32.6006,-8.5615,29.7076,34.0761,45.2939,30.9167,0.0000,0.0000,1.4051,0.5363
00003.png,2120,00003,922,10,560,0.793,1.808,"(1.000,1.000,1.000,1.000,1.000)",1.000,0.822,-15.09549801,-86.00120961,-2.300,-16.61176622,-71.43759468,-2.340,-0.3451,3.5297,-1.8614,18.0933,3.5466,62.6802,18.1888,0.0000,0.0000,1.1196,0.9655
00004.png,2112,00004,885,11,446,0.750,1.804,"(0.999,0.994,1.000,0.997,1.000)",0.995,0.806,-10.17589717,-137.06802792,-2.718,-15.94616637,-123.43811199,-2.540,11.8066,-2.5852,6.0363,11.0447,12.0863,118.5099,12.5866,0.0000,0.0000,1.0942,0.9655
00005.png,2323,00005,946,12,573,0.786,1.754,"(0.999,0.994,1.000,0.997,1.000)",0.995,0.822,-15.88166634,-181.54521502,-3.229,-17.38735076,-173.53086766,-2.963,13.5279,-2.1372,12.0222,5.8772,13.6957,170.5759,13.3819,0.0000,0.0000,1.2097,0.9658
00006.png,2478,00006,1084,13,701,0.817,1.665,"(0.999,0.995,1.000,0.997,1.000)",0.996,0.840,-27.76617137,-224.31850127,-2.649,-22.37857452,-221.67203472,-2.813,9.2951,-0.0453,14.6827,2.6011,9.2953,221.0860,14.9114,0.0000,0.0000,1.4148,0.9687
00007.png,2783,00007,1242,14,827,0.814,1.701,"(0.999,0.999,1.000,0.999,1.000)",0.999,0.837,-51.95865062,-269.44234339,-2.795,-33.06351910,-268.91283133,-4.101,-7.2725,-0.2239,11.6227,0.3056,7.2759,269.7132,11.6267,0.0000,0.0000,1.2801,0.9655
00008.png,3251,00008,1500,15,1043,0.831,1.696,"(0.999,0.994,1.000,0.997,1.000)",0.995,0.841,-41.22315798,-315.60155472,-3.343,-37.94711146,-315.78567095,-4.819,10.7510,-1.3511,14.0270,-1.5352,10.8355,317.9657,14.1108,0.0000,0.0000,1.4216,0.9659
00009.png,3468,00009,1577,15,1179,0.841,1.675,"(0.996,0.984,1.000,0.991,1.000)",0.988,0.843,-41.36762834,-367.95738040,-3.946,-41.77598935,-364.48263572,-5.371,17.9397,-8.6626,17.5313,-5.1878,19.9216,365.1109,18.2828,0.0000,0.0000,1.4571,0.9654
00010.png,3737,00010,1648,15,1252,0.846,1.705,"(0.990,0.994,1.000,0.986,1.000)",0.989,0.842,-58.91108889,-421.99158757,-3.629,-50.07324770,-415.08159287,-5.635,7.9921,-17.8851,16.8300,-10.9751,19.5896,414.2056,20.0923,0.0000,0.0000,1.4837,0.9543
00011.png,3977,00006,82,15,33,0.653,1.771,"(0.988,1.000,0.998,0.981,1.000)",0.986,0.853,-66.88416723,-512.36665981,-5.799,-58.85851951,-479.94031667,-7.963,7.5945,-63.7614,15.6201,-31.3350,64.2120,465.9602,35.0124,0.0000,0.0000,1.4558,0.2048
00012.png,4200,00012,1934,15,1442,0.841,1.642,"(0.996,0.981,1.000,0.989,1.000)",0.986,0.844,-65.34944404,-501.33849482,-5.146,-65.60906245,-520.79895134,-7.587,16.8431,-8.6084,16.5835,-28.0688,18.9154,533.7862,32.6017,0.0000,0.0000,1.5459,0.9656
00013.png,4479,00013,2047,15,1492,0.846,1.638,"(0.995,0.963,1.000,0.979,1.000)",0.972,0.840,-64.32582665,-546.96943996,-5.727,-69.88832980,-562.72082485,-7.900,25.8512,-10.2703,20.2887,-26.0217,27.8166,574.0180,32.9964,0.0000,0.0000,1.5489,0.9599
00014.png,4402,00014,2138,15,1603,0.838,1.587,"(0.990,0.992,1.000,0.985,1.000)",0.988,0.849,-88.39115397,-593.85873070,-5.634,-80.00530371,-605.28527731,-8.304,10.1962,-13.3343,18.5821,-24.7608,16.7859,615.2830,30.9579,0.0000,0.0000,1.5611,0.9709
00015.png,4423,00015,2234,15,1681,0.840,1.680,"(0.993,0.996,1.000,0.989,1.000)",0.992,0.844,-99.13719582,-636.33753237,-4.818,-90.18915710,-647.75205400,-7.948,7.8705,-12.2092,16.8185,-23.6237,14.5262,658.2195,28.9990,0.0000,0.0000,1.5529,0.9734
00016.png,4469,00016,2239,15,1681,0.842,1.606,"(0.998,0.998,1.000,0.997,1.000)",0.998,0.853,-111.23969467,-672.12567827,-5.356,-100.87674742,-687.57780080,-8.859,3.9248,-4.4703,14.2878,-19.9225,5.9488,701.1837,24.5162,0.0000,0.0000,1.6297,0.9703
00017.png,4527,00017,2278,15,1700,0.827,1.693,"(0.999,1.000,1.000,0.999,1.000)",0.999,0.842,-126.40349714,-712.10777167,-5.923,-112.70264442,-727.60647009,-9.895,-3.2807,-0.9365,10.4202,-16.4352,3.4117,741.4149,19.4601,0.0000,0.0000,1.6440,0.9705
00018.png,4565,00018,2382,15,1735,0.816,1.721,"(1.000,0.999,1.000,1.000,1.000)",1.000,0.836,-136.46554074,-752.58689022,-4.919,-124.34108780,-767.48804309,-9.406,-5.5095,2.1615,6.6150,-12.7397,5.9183,782.1849,14.3547,0.0000,0.0000,1.6754,0.9763
00019.png,4220,00019,2113,15,1537,0.833,1.714,"(1.000,1.000,1.000,1.000,1.000)",1.000,0.842,-137.35821795,-800.56619872,-5.078,-133.12778200,-809.02958485,-9.615,1.1380,-2.0069,5.3684,-10.4703,2.3071,822.8965,11.7664,0.0000,0.0000,1.5391,0.9702
00020.png,3958,00020,1949,15,1429,0.837,1.658,"(1.000,0.996,1.000,0.998,1.000)",0.997,0.847,-138.79888982,-843.74252329,-5.103,-140.13752625,-850.68833530,-9.633,7.1032,-1.2922,5.7646,-8.2380,7.2198,864.9951,10.0546,0.0000,0.0000,1.6092,0.9657
00021.png,3779,00021,1711,15,1249,0.838,1.647,"(1.000,0.990,1.000,0.994,1.000)",0.993,0.846,-140.69312069,-885.18853203,-5.136,-145.86094437,-892.10616408,-9.569,12.6636,1.2018,7.4958,-5.7158,12.7205,906.9457,9.4264,0.0000,0.0000,1.4924,0.9584
00022.png,3547,00022,1534,15,1060,0.830,1.755,"(1.000,0.986,1.000,0.992,1.000)",0.990,0.833,-146.13525846,-932.10100996,-4.861,-151.64518440,-934.95656416,-9.224,15.1403,0.0717,9.6303,-2.7838,15.1404,948.4383,10.0246,0.0000,0.0000,1.3701,0.9496
00023.png,3192,00023,1394,15,921,0.819,1.809,"(1.000,0.989,1.000,0.994,1.000)",0.992,0.827,-157.36242857,-977.82125912,-5.026,-158.46235872,-978.50658687,-9.337,11.7435,-1.5226,10.6436,-2.2079,11.8418,991.5338,10.8702,0.0000,0.0000,1.4222,0.9626
00024.png,3257,00024,1462,15,1022,0.825,1.687,"(0.999,0.989,1.000,0.994,1.000)",0.992,0.839,-165.95380908,-1020.64139221,-4.790,-165.70228495,-1021.81733243,-9.142,11.1832,-0.1957,11.4347,-1.3716,11.1849,1035.5853,11.5167,0.0000,0.0000,1.4402,0.9751
00025.png,3367,00025,1555,15,1069,0.848,1.640,"(0.998,0.996,1.000,0.997,1.000)",0.997,0.852,-180.61025794,-1066.56957290,-5.962,-174.78961431,-1065.89282193,-10.324,4.6144,-1.8844,10.4350,-1.2076,4.9843,1079.4545,10.5046,0.0000,0.0000,1.4446,0.9729
00026.png,3342,00026,1561,15,1081,0.844,1.715,"(0.999,0.996,1.000,0.998,1.000)",0.997,0.845,-187.78163942,-1108.68357325,-5.321,-183.87417455,-1109.33909948,-9.879,5.5878,0.2044,9.4952,-0.4511,5.5915,1124.4780,9.5060,0.0000,0.0000,1.4391,0.9791
00027.png,3309,00027,1537,15,1101,0.851,1.679,"(1.000,0.997,1.000,0.998,1.000)",0.998,0.850,-214.82799250,-1151.51155898,-6.083,-197.05945013,-1152.77691887,-10.845,-13.5540,1.6971,4.2146,0.4318,13.6598,1168.8283,4.2366,0.0000,0.0000,1.4962,0.9723
00028.png,3370,00028,1528,15,1129,0.846,1.679,"(0.998,0.983,1.000,0.990,1.000)",0.988,0.843,-193.55652949,-1203.56360097,-6.506,-202.86063347,-1198.20987729,-11.120,15.1538,-5.9507,5.8497,-0.5969,16.2803,1213.9116,5.8801,0.0000,0.0000,1.3933,0.9603
00029.png,3402,00029,1510,15,1062,0.810,1.675,"(0.999,0.980,1.000,0.989,1.000)",0.986,0.832,-197.21756144,-1246.03473041,-5.436,-208.55190914,-1242.83382768,-10.032,19.2052,-4.1489,7.8709,-0.9480,19.6483,1259.8014,7.9278,0.0000,0.0000,1.4168,0.9650
00030.png,3068,00030,1328,15,940,0.819,1.746,"(0.999,0.995,1.000,0.997,1.000)",0.996,0.834,-216.80964471,-1289.01453303,-6.307,-216.48268052,-1287.31818439,-10.750,7.5941,-2.7735,7.9210,-1.0771,8.0847,1304.8015,7.9939,0.0000,0.0000,1.3391,0.9569
00031.png,2910,00031,1322,15,937,0.841,1.626,"(0.999,0.999,1.000,0.998,1.000)",0.999,0.852,-231.66237230,-1331.16983363,-7.530,-226.51698561,-1331.23528151,-12.022,0.7964,-0.4911,5.9418,-0.5566,0.9357,1350.0363,5.9678,0.0000,0.0000,1.3925,0.9683
00032.png,2892,00032,1416,15,1091,0.842,1.665,"(1.000,1.000,1.000,1.000,1.000)",1.000,0.849,-242.08750683,-1368.74029761,-6.367,-237.14889269,-1373.28424742,-11.111,-1.5100,6.3526,3.4286,1.8087,6.5296,1395.0197,3.8764,0.0000,0.0000,1.3852,0.9850
00033.png,3067,00033,1545,15,1200,0.836,1.725,"(1.000,0.985,1.000,0.991,1.000)",0.989,0.837,-232.58440156,-1413.12285572,-4.183,-242.88784506,-1415.91169372,-8.925,16.0142,6.5836,5.7108,3.7948,17.3147,1438.1483,6.8566,0.0000,0.0000,1.4494,0.9840
00034.png,3061,00034,1560,15,1248,0.851,1.619,"(1.000,0.999,1.000,0.999,1.000)",0.999,0.856,-253.68281966,-1460.84952298,-4.077,-250.70237588,-1460.12487852,-8.688,2.9850,3.7387,5.9655,4.4634,4.7842,1480.9785,7.4504,0.0000,0.0000,1.4002,0.9653
00035.png,3148,00035,1595,15,1286,0.851,1.530,"(1.000,0.997,1.000,0.998,1.000)",0.998,0.863,-256.24689617,-1507.50865837,-4.665,-257.18840426,-1505.08063141,-9.198,8.4909,2.1016,7.5494,4.5297,8.7471,1525.9254,8.8040,0.0000,0.0000,1.4066,0.9632
00036.png,2930,00039,615,15,354,0.830,1.513,"(0.997,1.000,0.999,0.988,1.000)",0.991,0.854,-262.88805598,-1525.97228054,-5.309,-263.80199987,-1542.66221853,-9.854,9.8886,28.7859,8.9746,12.0959,30.4370,1571.4336,15.0617,0.0000,0.0000,1.3454,0.6504
00037.png,2745,00037,1291,15,972,0.838,1.489,"(0.998,0.999,1.000,0.997,1.000)",0.998,0.862,-275.96003595,-1608.29692184,-4.812,-272.60862215,-1592.48544090,-9.442,4.8639,-8.3809,8.2153,7.4306,9.6901,1608.9519,11.0772,0.0000,0.0000,1.3195,0.9764
00038.png,2531,00037,1049,15,763,0.839,1.564,"(1.000,0.991,1.000,0.995,1.000)",0.993,0.854,-273.96728181,-1659.33185161,-5.349,-278.87515663,-1642.58192794,-9.829,14.7125,-14.3571,9.8047,2.3929,20.5568,1660.2229,10.0924,0.0000,0.0000,1.3425,0.9023
00039.png,2463,00035,495,15,307,0.862,1.653,"(1.000,0.999,0.998,0.985,1.000)",0.990,0.852,-301.94121158,-1730.57003182,-5.323,-290.28997067,-1698.94804965,-9.905,-5.3285,-40.6622,6.3227,-9.0403,41.0099,1711.2555,11.0319,0.0000,0.0000,1.2653,0.5698
00040.png,2576,00040,1082,15,751,0.776,1.747,"(0.996,0.992,1.000,0.994,1.000)",0.994,0.819,-291.64217019,-1742.95569135,-4.234,-297.10002020,-1744.26103572,-8.885,12.7409,-8.2151,7.2831,-9.5204,15.1598,1769.9902,11.9867,0.0000,0.0000,1.3178,0.9780
00041.png,2935,00041,1225,15,853,0.817,1.711,"(0.992,0.993,1.000,0.988,1.000)",0.991,0.833,-300.97372910,-1791.50664977,-4.174,-303.62347862,-1790.39508334,-8.707,11.1501,-12.1792,8.5004,-11.0677,16.5124,1815.7373,13.9553,0.0000,0.0000,1.3048,0.9483
00042.png,3169,00042,1408,15,1023,0.835,1.651,"(0.993,0.998,1.000,0.990,1.000)",0.992,0.845,-314.24863094,-1836.71142254,-4.912,-311.46670455,-1836.40213564,-9.402,5.5284,-13.1891,8.3103,-12.8798,14.3009,1862.3330,15.3281,0.0000,0.0000,1.4107,0.9619
00043.png,3581,00043,1748,15,1294,0.838,1.667,"(0.994,1.000,1.000,0.991,1.000)",0.993,0.845,-325.41672125,-1878.65525202,-4.937,-320.37477132,-1881.28743414,-9.527,1.8735,-11.3877,6.9155,-14.0199,11.5408,1909.0384,15.6327,0.0000,0.0000,1.5082,0.9580
00044.png,3887,00044,1975,15,1487,0.844,1.693,"(0.997,0.995,1.000,0.995,1.000)",0.996,0.846,-324.49266623,-1918.09877543,-4.247,-327.16130997,-1924.52635956,-8.879,10.1371,-7.4333,7.4685,-13.8609,12.5704,1954.7144,15.7449,0.0000,0.0000,1.5564,0.9612
00045.png,4233,00045,2249,15,1715,0.844,1.599,"(0.999,1.000,1.000,0.999,1.000)",0.999,0.855,-345.45406176,-1957.91974606,-4.463,-336.70189642,-1966.64639152,-9.127,-3.5639,-3.9666,5.1883,-12.6932,5.3325,1998.2180,13.7126,0.0000,0.0000,1.7337,0.9712
00046.png,4413,00046,2275,15,1779,0.837,1.611,"(0.999,0.999,1.000,0.999,1.000)",0.999,0.852,-345.28331245,-2002.62087686,-4.096,-344.14231015,-2009.30307936,-8.813,3.6638,-5.4268,4.8048,-12.1090,6.5478,2041.0470,13.0274,0.0000,0.0000,1.6653,0.9760
00047.png,4295,00047,2189,15,1746,0.847,1.576,"(0.999,0.987,1.000,0.993,1.000)",0.990,0.854,-339.37224790,-2046.92822554,-4.531,-348.49099252,-2052.11185849,-9.118,16.4517,-6.4475,7.3329,-11.6312,17.6700,2084.0953,13.7497,0.0000,0.0000,1.6524,0.9654
00048.png,4256,00048,2137,15,1625,0.853,1.618,"(0.998,0.997,1.000,0.997,1.000)",0.997,0.856,-355.98452627,-2090.01087263,-5.665,-355.71782091,-2094.89602199,-10.211,6.8617,-6.2414,7.1284,-11.1265,9.2756,2126.7708,13.2141,0.0000,0.0000,1.6400,0.9668
00049.png,4185,00049,2116,15,1597,0.838,1.655,"(0.999,0.998,1.000,0.998,1.000)",0.998,0.848,-366.59821302,-2131.56301099,-5.437,-364.21889608,-2137.25648589,-10.104,3.4258,-4.5270,5.8051,-10.2204,5.6771,2169.9704,11.7540,0.0000,0.0000,1.5510,0.9747
00050.png,4097,00050,2109,15,1583,0.832,1.624,"(0.999,0.993,1.000,0.996,1.000)",0.995,0.847,-368.63464151,-2170.84249338,-3.917,-371.20501403,-2178.61700721,-8.681,8.6405,-0.5610,6.0702,-8.3356,8.6587,2212.9654,10.3116,0.0000,0.0000,1.5623,0.9814
00051.png,4138,00051,2094,15,1558,0.826,1.676,"(0.999,0.999,1.000,0.999,1.000)",0.999,0.843,-381.28909893,-2214.97756321,-5.459,-378.58740062,-2220.72643067,-10.014,3.2104,-1.1635,5.9121,-6.9124,3.4148,2254.6085,9.0958,0.0000,0.0000,1.5257,0.9719
00052.png,4143,00052,2116,15,1583,0.839,1.630,"(1.000,1.000,1.000,1.000,1.000)",1.000,0.851,-393.09241854,-2259.07728143,-5.293,-387.68796104,-2263.04319469,-10.011,-1.3947,-1.6683,4.0098,-5.6342,2.1745,2297.1788,6.9154,0.0000,0.0000,1.5860,0.9701
00053.png,4104,00053,2119,15,1588,0.831,1.728,"(1.000,1.000,1.000,1.000,1.000)",1.000,0.841,-400.61701123,-2300.47861376,-4.346,-396.29545028,-2305.14186579,-9.171,-1.8736,0.6144,2.4480,-4.0489,1.9718,2340.3060,4.7314,0.0000,0.0000,1.5524,0.9773
00054.png,4003,00054,1980,15,1452,0.835,1.672,"(1.000,0.999,1.000,0.999,1.000)",0.999,0.846,-402.21015505,-2343.33569521,-3.134,-402.97873451,-2347.27564247,-7.977,3.4044,1.5259,2.6358,-2.4141,3.7307,2383.1165,3.5742,0.0000,0.0000,1.5570,0.9798
00055.png,3711,00055,1832,15,1344,0.855,1.627,"(1.000,1.000,1.000,1.000,1.000)",1.000,0.857,-412.38612582,-2386.84633276,-3.568,-409.78610098,-2389.72618922,-8.309,-0.1293,1.9675,2.4707,-0.9123,1.9718,2425.6045,2.6338,0.0000,0.0000,1.5042,0.9651
00056.png,3465,00056,1580,15,1151,0.844,1.659,"(1.000,0.996,1.000,0.998,1.000)",0.997,0.849,-429.98225277,-2428.78502922,-3.756,-418.92508344,-2432.13333313,-8.578,-11.3989,4.0668,-0.3417,0.7185,12.1026,2468.5008,0.7956,0.0000,0.0000,1.3866,0.9559
00057.png,3198,00052,63,15,11,0.709,0.638,"(0.957,0.998,0.988,0.932,1.000)",0.949,0.853,-418.62705636,-2515.45703132,-3.176,-424.42849104,-2486.59612915,-7.981,5.8392,-38.5494,0.0378,-9.6885,38.9891,2511.7871,9.6886,0.0000,0.0000,1.2900,0.8713
00058.png,3019,00058,1427,15,948,0.793,1.709,"(1.000,0.999,1.000,0.999,1.000)",0.999,0.830,-426.38656172,-2516.68506690,-2.555,-429.75293896,-2527.67226882,-7.375,4.0347,4.4632,0.6683,-6.5240,6.0165,2567.4748,6.5582,0.0000,0.0000,1.2960,0.9754
00059.png,3005,00059,1377,15,981,0.823,1.745,"(1.000,0.984,1.000,0.992,1.000)",0.989,0.831,-421.57676266,-2560.34999927,-2.346,-432.81825084,-2568.91565128,-7.074,14.9824,5.0277,3.7409,-3.5379,15.8035,2608.4919,5.1489,0.0000,0.0000,1.3321,0.9548
