drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,time_s
08_0216.JPG,1942,sat_tile_y0_x1676,328,4,41,0.723,1.743,"(0.975,0.744,0.952,0.963)",0.810,0.767,3087.64379883,2622.00439453,88.436,3076.75224457,2609.72411498,94.739,15.4534,-9.8562,12.6641,-6.1894,18.3290,17.7344,14.0957,0.3387
08_0217.JPG,2116,sat_tile_y0_x1676,275,4,32,0.627,1.546,"(0.973,0.798,0.987,0.986)",0.853,0.740,3360.34802246,2784.30249023,87.052,3409.47518306,2752.12498007,105.106,-13.1776,-39.8211,-0.5965,-30.2130,41.9449,14.3699,30.2189,0.2798
08_0218.JPG,1648,sat_tile_y0_x1676,146,4,16,0.514,1.536,"(0.244,0.463,0.110,0.926)",0.240,0.377,3883.94995117,2818.74877930,90.666,3734.02488508,2817.35439110,103.758,22.4444,-33.5234,-15.9503,-33.1070,40.3431,45.8008,36.7490,0.2783
08_0219.JPG,1644,sat_tile_y1676_x1676,14,4,4,0.167,0.000,"(0.000,0.688,0.000,0.000)",0.069,0.118,N/A,N/A,N/A,4117.16191285,2911.16358868,103.758,N/A,N/A,-16.3099,-43.2592,N/A,46.2317,46.2317,0.2098
08_0220.JPG,1190,sat_tile_y0_x3352,69,4,8,0.347,0.546,"(0.499,0.923,0.416,0.582)",0.492,0.419,N/A,N/A,N/A,4500.29894062,3004.97278626,103.758,N/A,N/A,-16.6599,-57.2385,N/A,59.6138,59.6138,0.2325
08_0221.JPG,1378,sat_tile_y0_x3352,49,9,9,0.326,1.008,"(0.659,0.907,0.782,0.989)",0.729,0.527,N/A,N/A,N/A,4883.43596840,3098.78198385,103.758,N/A,N/A,-17.0100,-65.4771,N/A,67.6505,67.6505,0.3548
08_0222.JPG,1511,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5266.57299617,3192.59118143,103.758,N/A,N/A,-16.2716,-74.9925,N/A,76.7374,76.7374,0.2546
08_0223.JPG,1387,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5649.71002394,3286.40037902,103.758,N/A,N/A,-17.7196,-87.6961,N/A,89.4683,89.4683,0.2745
08_0224.JPG,1564,sat_tile_y1676_x5028,10,6,4,0.185,0.000,"(0.000,0.900,0.000,0.000)",0.090,0.137,N/A,N/A,N/A,6032.84705171,3380.20957660,103.758,N/A,N/A,-16.9717,-95.9346,N/A,97.4243,97.4243,0.2611
08_0225.JPG,1275,sat_tile_y1676_x5028,6,6,4,0.149,0.000,"(0.013,0.959,0.000,0.005)",0.098,0.124,N/A,N/A,N/A,6320.19982253,3450.56647479,103.758,N/A,N/A,-42.9497,-102.9111,N/A,111.5140,111.5140,0.2650
