drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,heading_diff,ekf_heading_diff,time_s,SDS
00002.png,2427,00002,1083,10,732,0.839,1.671,"(0.995,1.000,0.998,0.999)",0.996,0.834,-18.30393169,-40.11541119,-2.427,-12.95013300,-41.89214371,-2.586,-10.7673,4.5471,-5.4135,2.7703,11.6881,45.2939,6.0812,0.0000,0.0000,1.0991,0.9773
00003.png,2167,00003,933,10,555,0.809,1.765,"(1.000,1.000,1.000,0.999)",0.999,0.815,-15.05194879,-86.07316267,-2.264,-14.99987714,-86.66750399,-2.295,-0.3016,3.4578,-0.2495,2.8634,3.4709,88.3663,2.8743,0.0000,0.0000,0.7638,0.9685
00004.png,2101,00004,871,11,454,0.777,1.804,"(0.992,1.000,0.996,0.999)",0.994,0.797,-10.17622263,-137.08281106,-2.752,-14.85843921,-133.60169655,-2.693,11.8063,-2.6000,7.1240,0.8812,12.0892,132.9080,7.1783,0.0000,0.0000,0.7384,0.9655
00005.png,2287,00005,945,12,568,0.776,1.739,"(0.993,1.000,0.997,0.999)",0.995,0.802,-15.83593827,-181.58232820,-3.271,-16.72838068,-179.83012502,-3.210,13.5736,-2.1743,12.6812,-0.4221,13.7467,179.7700,12.6882,0.0000,0.0000,0.7811,0.9638
00006.png,2445,00006,1085,13,700,0.824,1.724,"(0.996,1.000,0.998,0.999)",0.997,0.824,-27.66511068,-224.27962791,-2.634,-21.39749506,-224.98379552,-2.703,9.3962,-0.0065,15.6638,-0.7106,9.3962,226.1255,15.6799,0.0000,0.0000,0.8597,0.9699
00007.png,2767,00007,1239,14,809,0.823,1.665,"(0.998,1.000,0.999,0.999)",0.999,0.829,-51.97761975,-269.45141296,-2.841,-30.46001128,-270.24551125,-2.877,-7.2914,-0.2330,14.2262,-1.0271,7.2951,271.4650,14.2632,0.0000,0.0000,0.9095,0.9721
00008.png,3242,00008,1490,15,1068,0.822,1.693,"(0.994,1.000,0.997,0.999)",0.995,0.824,-41.23120105,-315.56762873,-3.321,-34.70850809,-315.71514336,-3.294,10.7429,-1.3172,17.2656,-1.4647,10.8234,317.4140,17.3276,0.0000,0.0000,0.9910,0.9675
00009.png,3441,00009,1561,15,1157,0.840,1.709,"(0.982,1.000,0.990,0.999)",0.986,0.827,-41.41395580,-367.94820363,-3.950,-38.32000575,-363.51512053,-3.896,17.8933,-8.6534,20.9873,-4.2203,19.8759,363.1102,21.4074,0.0000,0.0000,0.9781,0.9663
00010.png,3713,00006,183,15,78,0.706,1.700,"(0.997,0.998,0.963,0.998)",0.973,0.840,-58.41793535,-462.13468755,-2.305,-45.57978158,-427.64534915,-2.466,8.4853,-58.0282,21.3234,-23.5389,58.6453,411.4017,31.7611,0.0000,0.0000,0.9564,0.4314
00011.png,3884,00011,1767,15,1284,0.844,1.678,"(0.981,1.000,0.987,0.999)",0.986,0.831,-62.03078532,-465.63536726,-4.584,-50.87549771,-472.77135084,-4.417,12.4479,-17.0301,23.6032,-24.1660,21.0944,478.4882,33.7803,0.0000,0.0000,1.0886,0.9529
00012.png,4191,00012,1929,15,1448,0.841,1.637,"(0.980,1.000,0.990,0.999)",0.985,0.833,-65.36700714,-501.37776396,-5.135,-56.88263996,-514.57186218,-5.092,16.8255,-8.6476,25.3099,-21.8417,18.9177,523.5669,33.4313,0.0000,0.0000,1.0998,0.9595
00013.png,4463,00013,2051,15,1498,0.846,1.626,"(0.961,1.000,0.981,0.999)",0.970,0.830,-64.34998215,-546.95018071,-5.715,-61.73715598,-557.14163851,-5.666,25.8270,-10.2511,28.4398,-20.4425,27.7870,565.0224,35.0246,0.0000,0.0000,1.2054,0.9613
00014.png,4402,00014,2149,15,1613,0.835,1.593,"(0.984,1.000,0.988,0.999)",0.987,0.835,-88.40090934,-593.86476186,-5.631,-71.14249321,-600.79460903,-5.673,10.1865,-13.3403,27.4449,-20.2701,16.7848,607.3270,34.1189,0.0000,0.0000,1.1284,0.9726
00015.png,4395,00015,2233,15,1670,0.841,1.680,"(0.990,1.000,0.992,0.999)",0.992,0.832,-99.14281691,-636.33657340,-4.813,-80.69546232,-643.99136226,-4.931,7.8649,-12.2083,26.3122,-19.8631,14.5223,651.4687,32.9678,0.0000,0.0000,1.1024,0.9741
00016.png,4461,00016,2241,14,1699,0.838,1.601,"(0.997,1.000,0.998,0.999)",0.997,0.839,-111.23759567,-672.12017590,-5.366,-90.45666988,-684.77563735,-5.375,3.9269,-4.4648,24.7078,-17.1203,5.9460,695.1819,30.0596,0.0000,0.0000,1.0966,0.9696
00017.png,4493,00017,2277,15,1709,0.824,1.688,"(1.000,1.000,0.999,0.999)",0.999,0.828,-126.40970975,-712.10228825,-5.915,-101.35340651,-725.23704420,-5.920,-3.2869,-0.9310,21.7694,-14.0658,3.4162,736.3600,25.9182,0.0000,0.0000,1.1018,0.9705
00018.png,4512,00018,2351,15,1721,0.819,1.719,"(0.999,1.000,1.000,0.999)",0.999,0.823,-136.45752575,-752.59798326,-4.910,-112.21625886,-765.43663917,-5.060,-5.5014,2.1504,18.7398,-10.6883,5.9068,777.4478,21.5736,0.0000,0.0000,1.1509,0.9770
00019.png,4201,00019,2102,15,1522,0.835,1.712,"(0.999,1.000,1.000,0.999)",0.999,0.830,-137.38311161,-800.57073442,-5.094,-120.66035652,-807.44385141,-5.129,1.1131,-2.0115,17.8359,-8.8846,2.2989,818.2969,19.9262,0.0000,0.0000,1.1046,0.9702
00020.png,4025,00020,1954,15,1444,0.837,1.652,"(0.996,1.000,0.998,0.999)",0.997,0.835,-138.80569674,-843.80308382,-5.098,-127.66874795,-849.57839063,-5.126,7.0964,-1.3528,18.2334,-7.1281,7.2242,860.8591,19.5772,0.0000,0.0000,1.0859,0.9659
00021.png,3758,00021,1700,15,1250,0.838,1.639,"(0.992,1.000,0.997,0.999)",0.994,0.835,-140.66787915,-885.20974194,-5.130,-133.52976912,-891.35115760,-5.146,12.6889,1.1806,19.8270,-4.9608,12.7437,903.3649,20.4382,0.0000,0.0000,1.0239,0.9621
00022.png,3515,00022,1522,15,1058,0.829,1.768,"(0.987,1.000,0.995,0.999)",0.990,0.819,-146.15709111,-932.09849645,-4.858,-139.22739103,-934.46446341,-4.900,15.1184,0.0742,22.0481,-2.2917,15.1186,945.3210,22.1669,0.0000,0.0000,0.9345,0.9507
00023.png,3170,00023,1389,15,916,0.819,1.807,"(0.991,1.000,0.996,0.999)",0.993,0.813,-157.34965782,-977.81311363,-5.026,-145.90660306,-978.27780925,-5.039,11.7563,-1.5145,23.1994,-1.9792,11.8535,988.7278,23.2836,0.0000,0.0000,0.9271,0.9633
00024.png,3237,00024,1460,15,1026,0.822,1.689,"(0.990,1.000,0.996,0.999)",0.993,0.824,-165.95524799,-1020.64773297,-4.782,-153.17931046,-1021.83608945,-4.835,11.1818,-0.2020,23.9577,-1.3904,11.1836,1033.0735,23.9980,0.0000,0.0000,0.9830,0.9751
00025.png,3348,00025,1545,15,1067,0.848,1.615,"(0.995,1.000,0.997,0.999)",0.996,0.842,-180.61392164,-1066.57664548,-5.943,-162.27150296,-1066.11442019,-5.887,4.6107,-1.8914,22.9531,-1.4292,4.9836,1077.2149,22.9976,0.0000,0.0000,0.9504,0.9729
00026.png,3320,00026,1568,15,1090,0.843,1.730,"(0.996,1.000,0.998,0.999)",0.997,0.830,-187.81257309,-1108.70118446,-5.315,-171.23449355,-1109.78010954,-5.401,5.5568,0.1868,22.1349,-0.8922,5.5600,1122.4793,22.1529,0.0000,0.0000,0.9869,0.9791
00027.png,3290,00027,1527,15,1104,0.849,1.684,"(0.997,1.000,0.999,0.999)",0.998,0.837,-214.82213896,-1151.49867176,-6.088,-183.98508800,-1153.34038334,-6.092,-13.5481,1.7100,17.2889,-0.1317,13.6556,1166.9922,17.2895,0.0000,0.0000,0.9875,0.9723
00028.png,3365,00028,1513,15,1114,0.846,1.684,"(0.983,1.000,0.992,0.999)",0.987,0.832,-193.55134111,-1203.56774725,-6.488,-189.77026181,-1199.05262684,-6.460,15.1590,-5.9548,18.9401,-1.4397,16.2866,1212.0596,18.9947,0.0000,0.0000,0.9692,0.9603
00029.png,3408,00029,1522,15,1072,0.802,1.707,"(0.982,1.000,0.992,0.999)",0.987,0.812,-197.20989174,-1246.03201742,-5.444,-195.21668456,-1243.92944338,-5.547,19.2129,-4.1462,21.2061,-2.0436,19.6552,1258.3181,21.3044,0.0000,0.0000,0.9385,0.9666
00030.png,3061,00030,1325,15,935,0.818,1.688,"(0.995,1.000,0.997,0.999)",0.996,0.823,-216.80107732,-1289.01730476,-6.305,-203.20562059,-1288.52097625,-6.266,7.6026,-2.7762,21.1981,-2.2799,8.0937,1303.5462,21.3203,0.0000,0.0000,0.9397,0.9562
00031.png,2906,00031,1328,15,941,0.842,1.635,"(0.998,1.000,0.999,0.999)",0.999,0.839,-231.66829752,-1331.19013331,-7.497,-213.35103236,-1332.48356690,-7.431,0.7905,-0.5114,19.1078,-1.8049,0.9415,1348.9354,19.1928,0.0000,0.0000,0.9353,0.9683
00032.png,2897,00032,1413,15,1087,0.836,1.628,"(0.999,1.000,1.000,0.999)",0.999,0.837,-242.03272161,-1368.76655857,-6.360,-224.00597649,-1374.60365109,-6.493,-1.4553,6.3264,16.5715,0.4893,6.4916,1393.9990,16.5787,0.0000,0.0000,0.9435,0.9813
00033.png,3058,00033,1533,15,1206,0.830,1.683,"(0.987,1.000,0.994,0.999)",0.990,0.827,-232.48539207,-1413.09881126,-4.209,-229.59458369,-1417.23090676,-4.427,16.1133,6.6076,19.0041,2.4755,17.4154,1437.0944,19.1646,0.0000,0.0000,0.9459,0.9839
00034.png,3077,00034,1579,15,1247,0.849,1.617,"(0.999,1.000,1.000,0.999)",0.999,0.843,-253.68262792,-1460.83401666,-4.075,-237.57726356,-1461.35452539,-4.139,2.9852,3.7542,19.0906,3.2337,4.7964,1479.8228,19.3625,0.0000,0.0000,0.9570,0.9661
00035.png,3145,00035,1595,15,1269,0.850,1.546,"(0.997,1.000,0.999,0.999)",0.998,0.849,-256.24877993,-1507.50341961,-4.654,-244.27487207,-1506.21338826,-4.635,8.4890,2.1069,20.4629,3.3969,8.7465,1524.6805,20.7429,0.0000,0.0000,0.9082,0.9632
00036.png,2927,00039,626,15,362,0.832,1.469,"(0.995,0.999,0.989,1.000)",0.992,0.846,-263.10395476,-1526.15311976,-5.142,-251.07883870,-1543.65182749,-5.125,9.6727,28.6050,21.6978,11.1063,30.1962,1570.1652,24.3751,0.0000,0.0000,0.9009,0.6575
00037.png,2738,00038,1066,15,762,0.823,1.528,"(0.994,1.000,0.993,1.000)",0.994,0.839,-275.47366901,-1598.28634713,-4.789,-259.39462748,-1590.41482669,-4.849,5.3503,1.6297,21.4293,9.5012,5.5930,1607.5748,23.4412,0.0000,0.0000,0.8536,0.9292
00038.png,2529,00042,189,15,60,0.697,1.795,"(0.995,1.000,0.988,0.997)",0.991,0.844,-277.21236910,-1610.12629003,-3.487,-265.96469058,-1627.61030955,-3.629,11.4674,34.8485,22.7151,17.3645,36.6868,1655.4127,28.5920,0.0000,0.0000,0.8459,0.5286
00039.png,2473,00038,919,15,652,0.820,1.635,"(0.999,1.000,0.999,1.000)",0.999,0.830,-300.19122478,-1701.24128327,-5.089,-275.46322629,-1679.34046399,-5.002,-3.5785,-11.3335,21.1495,10.5673,11.8850,1692.4403,23.6425,0.0000,0.0000,0.8390,0.9019
