drone_image,features_drone,tile,total_matches,search_tiles,inliers,LG_confidence,median_reproj_error_px,shape_terms,shape_score,overall_confidence,x_meas,y_meas,phi_meas_deg,x_ekf,y_ekf,phi_ekf_deg,dx,dy,dx_ekf,dy_ekf,error,error_pred,ekf_error,heading_diff,ekf_heading_diff,time_s,SDS
00002.png,2442,00002,1094,10,723,0.848,1.626,"(0.996,1.000,0.998,0.999)",0.997,0.841,-18.36015974,-40.10977912,-2.414,-13.08856241,-41.85448459,-2.568,-10.8236,4.5527,-5.5520,2.8080,11.7421,45.2939,6.2217,0.0000,0.0000,0.7135,0.9746
00003.png,2173,00003,928,10,555,0.809,1.819,"(1.000,1.000,1.000,0.999)",0.999,0.811,-15.02437958,-85.98465028,-2.314,-15.06753164,-86.61730079,-2.339,-0.2740,3.5463,-0.3172,2.9136,3.5568,88.3504,2.9308,0.0000,0.0000,0.3506,0.9738
00004.png,2166,00004,880,11,447,0.753,1.729,"(0.992,1.000,0.996,0.999)",0.994,0.793,-10.18689779,-136.98395287,-2.754,-14.95688854,-133.51387517,-2.699,11.7956,-2.5011,7.0256,0.9690,12.0578,132.8676,7.0921,0.0000,0.0000,0.3755,0.9723
00005.png,2330,00005,970,12,578,0.783,1.706,"(0.994,1.000,0.997,0.999)",0.995,0.808,-15.80552862,-181.68365077,-3.250,-16.78930718,-179.81783169,-3.193,13.6041,-2.2756,12.6203,-0.4098,13.7931,179.6869,12.6269,0.0000,0.0000,0.4043,0.9664
00006.png,2501,00006,1106,13,707,0.819,1.727,"(0.996,1.000,0.998,0.999)",0.997,0.821,-27.67265180,-224.29206220,-2.605,-21.41311007,-224.98785953,-2.675,9.3887,-0.0189,15.6482,-0.7147,9.3887,226.1250,15.6645,0.0000,0.0000,0.4744,0.9681
00007.png,2770,00007,1238,14,820,0.816,1.686,"(0.998,1.000,0.999,0.999)",0.998,0.824,-51.96503818,-269.43280582,-2.814,-30.35425395,-270.25036260,-2.850,-7.2788,-0.2144,14.3319,-1.0320,7.2820,271.4776,14.3691,0.0000,0.0000,0.5247,0.9740
00008.png,3300,00008,1504,15,1047,0.842,1.663,"(0.993,1.000,0.997,0.999)",0.995,0.835,-41.27249417,-315.62435981,-3.340,-34.69450324,-315.74284336,-3.311,10.7016,-1.3739,17.2796,-1.4924,10.7895,317.4125,17.3440,0.0000,0.0000,0.5860,0.9710
00009.png,3493,00009,1584,15,1157,0.833,1.697,"(0.981,1.000,0.990,0.999)",0.986,0.825,-41.32920417,-367.96961072,-3.961,-38.28672410,-363.51680345,-3.907,17.9781,-8.6748,21.0206,-4.2220,19.9616,363.1459,21.4404,0.0000,0.0000,0.5655,0.9670
00010.png,3758,00006,187,15,77,0.705,1.520,"(0.998,1.000,0.968,0.997)",0.977,0.841,-59.63610100,-462.97336299,-2.882,-45.88947755,-427.98915669,-2.995,7.2671,-58.8669,21.0137,-23.8827,59.3138,411.4039,31.8113,0.0000,0.0000,0.5914,0.4190
00011.png,3966,00011,1781,15,1303,0.838,1.643,"(0.981,1.000,0.986,0.999)",0.985,0.831,-61.94342132,-465.59791434,-4.606,-51.41202099,-473.01775818,-4.484,12.5352,-16.9926,23.0666,-24.4125,21.1159,478.9386,33.5863,0.0000,0.0000,0.6465,0.9631
00012.png,4186,00012,1932,15,1429,0.842,1.644,"(0.980,1.000,0.990,0.999)",0.985,0.832,-65.36553547,-501.35760353,-5.150,-57.32919265,-514.77792945,-5.111,16.8270,-8.6275,24.8634,-22.0478,18.9098,523.9058,33.2309,0.0000,0.0000,0.6892,0.9662
00013.png,4431,00013,2034,15,1464,0.848,1.597,"(0.962,1.000,0.981,0.999)",0.972,0.833,-64.32328481,-546.96906741,-5.726,-62.09732235,-557.26056255,-5.678,25.8537,-10.2700,28.0797,-20.5615,27.8188,565.3026,34.8029,0.0000,0.0000,0.6956,0.9717
00014.png,4357,00014,2113,15,1557,0.839,1.634,"(0.983,1.000,0.987,0.999)",0.987,0.833,-88.39167253,-593.87328978,-5.625,-71.38671043,-600.91179684,-5.669,10.1957,-13.3488,27.2007,-20.3873,16.7971,607.4970,33.9929,0.0000,0.0000,0.6920,0.9735
00015.png,4415,00015,2253,15,1680,0.840,1.648,"(0.990,1.000,0.991,0.999)",0.992,0.834,-99.20178959,-636.31799533,-4.808,-80.92349067,-644.06065725,-4.926,7.8059,-12.1897,26.0842,-19.9323,14.4748,651.6238,32.8281,0.0000,0.0000,0.6821,0.9718
00016.png,4460,00016,2279,14,1680,0.845,1.624,"(0.997,1.000,0.997,0.999)",0.997,0.840,-111.25834161,-672.07658019,-5.369,-90.63975842,-684.81099470,-5.377,3.9062,-4.4212,24.5247,-17.1557,5.8996,695.2823,29.9296,0.0000,0.0000,0.6596,0.9750
00017.png,4562,00017,2314,15,1720,0.827,1.694,"(0.999,1.000,0.999,0.999)",0.999,0.828,-126.44844917,-712.08995462,-5.928,-101.50945652,-725.25764058,-5.932,-3.3256,-0.9187,21.6134,-14.0864,3.4502,736.4184,25.7985,0.0000,0.0000,0.7086,0.9746
00018.png,4451,00017,2046,15,1421,0.833,1.737,"(0.999,1.000,1.000,0.999)",1.000,0.827,-136.85469929,-762.80404981,-4.918,-112.56277623,-768.30693850,-5.065,-5.8986,-8.0557,18.3933,-13.5586,9.9844,777.4879,22.8506,0.0000,0.0000,0.7020,0.9227
00019.png,4220,00019,2125,15,1557,0.830,1.685,"(0.999,1.000,0.999,0.999)",0.999,0.830,-137.40490169,-800.50053672,-5.103,-120.93009936,-809.69474777,-5.137,1.0913,-1.9413,17.5661,-11.1355,2.2270,821.4894,20.7982,0.0000,0.0000,0.6694,0.9747
