num,filename,date,lat,lon,height,Omega,Kappa,Phi1,Phi2
1,09_0001.JPG,2019-06-15T13:41:49,30.92413649,120.1460296,546.55,1.094349,-0.847978,-53.697605,-50.345801
2,09_0002.JPG,2019-06-15T13:41:54,30.92470944,120.1452275,546.43,1.518338,-1.014135,-53.989813,-50.374449
3,09_0003.JPG,2019-06-15T13:42:00,30.92529959,120.1444368,546.47,0.80787,-0.366693,-51.938624,-49.54939
4,09_0004.JPG,2019-06-15T13:42:05,30.92587828,120.1436232,546.73,0.996947,-1.186023,-53.187672,-50.391638
5,09_0005.JPG,2019-06-15T13:42:11,30.92645696,120.1428211,546.42,1.827735,-1.186023,-53.015785,-50.116618
6,09_0006.JPG,2019-06-15T13:42:16,30.92703565,120.1420189,546.53,1.512609,-0.996947,-53.147565,-50.122348
7,09_0007.JPG,2019-06-15T13:42:22,30.92760861,120.1412282,546.53,1.065701,-0.853707,-52.184996,-49.623875
8,09_0008.JPG,2019-06-15T13:42:28,30.92819876,120.1404146,546.45,1.048513,-0.624524,-52.293858,-49.853058
9,09_0009.JPG,2019-06-15T13:42:33,30.92877744,120.139624,546.5,0.739116,-0.618794,-52.339695,-49.898894
10,09_0010.JPG,2019-06-15T13:42:39,30.92936186,120.1388218,546.52,1.266237,-0.95684,-52.500123,-51.113565
11,09_0011.JPG,2019-06-15T13:42:45,30.92992909,120.1380197,546.39,1.850654,-0.830789,-52.076134,-50.947407
12,09_0012.JPG,2019-06-15T13:42:50,30.93050205,120.1372061,546.41,1.718873,-0.423989,-51.474528,-50.254128
13,09_0013.JPG,2019-06-15T13:42:56,30.93108646,120.1364039,546.51,1.2204,-0.550039,-50.918759,-49.474906
14,09_0014.JPG,2019-06-15T13:43:01,30.93166515,120.1356132,546.45,0.68182,-0.739116,-50.741142,-49.698359
15,09_0015.JPG,2019-06-15T13:43:06,30.93223238,120.1347882,546.54,2.331938,-0.727656,-49.641063,-49.480635
16,09_0016.JPG,2019-06-15T13:43:12,30.93282253,120.1339975,546.54,1.105809,-0.561499,-51.188049,-50.299965
17,09_0017.JPG,2019-06-15T13:43:18,30.93340121,120.1331954,546.56,1.059972,-0.727656,-50.385909,-50.168185
18,09_0018.JPG,2019-06-15T13:43:23,30.9339799,120.1324047,546.46,1.36364,-0.991217,-49.767114,-49.904624
19,09_0019.JPG,2019-06-15T13:43:29,30.93455859,120.1315911,546.41,1.518338,-0.68182,-49.663982,-50.397368
20,09_0020.JPG,2019-06-15T13:43:34,30.93513727,120.1307889,546.53,1.002676,-0.836518,-48.838922,-50.254128
21,09_0021.JPG,2019-06-15T13:43:40,30.93571596,120.1299868,546.55,1.546986,-0.624524,-48.924866,-50.827086
22,09_0022.JPG,2019-06-15T13:43:46,30.93628319,120.1291732,546.25,2.349127,-0.326586,-48.672765,-50.63228
23,09_0023.JPG,2019-06-15T13:43:51,30.93686188,120.1283711,546.44,1.592823,-0.487014,-48.46077,-49.663982
24,09_0024.JPG,2019-06-15T13:43:56,30.93743484,120.1275689,546.77,1.168834,-0.332316,-47.698736,-49.497824
25,09_0025.JPG,2019-06-15T13:44:02,30.93802498,120.1267668,546.6,0.441178,-1.042783,-47.91646,-49.377503
26,09_0026.JPG,2019-06-15T13:44:07,30.93860367,120.1259646,546.5,1.541256,-1.002676,-48.0597,-50.030675
27,09_0027.JPG,2019-06-15T13:44:13,30.93918236,120.125174,546.48,1.329262,-0.865166,-47.91646,-50.340072
28,09_0028.JPG,2019-06-15T13:44:18,30.93976104,120.1243718,546.45,1.438124,-1.140186,-48.374827,-50.976055
29,09_0029.JPG,2019-06-15T13:44:24,30.94035119,120.1235697,546.7,0.521392,-1.403747,-49.131131,-51.543283
30,09_0030.JPG,2019-06-15T13:44:30,30.94091842,120.1227561,546.27,1.713144,-0.991217,-48.816004,-50.998973
31,09_0031.JPG,2019-06-15T13:44:35,30.94148565,120.1219539,546.34,2.091296,-0.630254,-47.859165,-50.620821
32,09_0032.JPG,2019-06-15T13:44:41,30.94205288,120.1211403,546.54,2.154321,-0.710468,-47.200263,-49.14832
33,09_0033.JPG,2019-06-15T13:44:46,30.94264302,120.1203382,546.49,1.323533,-0.81933,-47.641441,-48.667035
34,09_0034.JPG,2019-06-15T13:44:52,30.94322744,120.1195475,546.47,1.014135,-0.590147,-47.801869,-49.6869
35,09_0035.JPG,2019-06-15T13:44:57,30.9438004,120.1187339,546.38,1.644389,-0.26929,-48.002404,-49.55512
36,09_0036.JPG,2019-06-15T13:45:03,30.94438481,120.1179432,546.31,1.168834,0.074485,-48.231587,-50.019216
37,09_0037.JPG,2019-06-15T13:45:08,30.94496923,120.1171411,546.7,-0.00573,0.057296,-49.194156,-50.781249
38,09_0038.JPG,2019-06-15T13:45:14,30.94554219,120.1163389,546.59,0.847978,-0.441178,-48.678494,-50.890111
39,09_0039.JPG,2019-06-15T13:45:19,30.94610942,120.1155139,546.41,1.684496,-0.475555,-46.810652,-49.543661
40,09_0040.JPG,2019-06-15T13:45:25,30.94669956,120.1147347,546.32,0.572958,-0.240642,-46.031429,-48.592551
41,09_0041.JPG,2019-06-15T13:45:31,30.94727252,120.1139325,546.65,1.776169,-0.4068,-48.374827,-51.7209
42,09_0042.JPG,2019-06-15T13:45:36,30.94785694,120.1131304,546.48,-0.240642,-0.074485,-46.782004,-49.54939
43,09_0043.JPG,2019-06-15T13:45:41,30.94842417,120.1123168,546.51,2.314749,-0.338045,-46.83357,-49.893165
44,09_0044.JPG,2019-06-15T13:45:47,30.94899712,120.1115146,546.44,1.919409,-0.332316,-46.260612,-49.348855
45,09_0045.JPG,2019-06-15T13:45:52,30.94958154,120.1107125,546.48,1.289155,-0.584417,-46.953891,-49.589497
46,09_0046.JPG,2019-06-15T13:45:58,30.95017742,120.1099333,546.57,0.481285,-0.635983,-47.503931,-50.08797
